epoch,body,left_ear,loss,lr,nose,right_ear,tail_base,val_body,val_left_ear,val_loss,val_nose,val_right_ear,val_tail_base
0,0.004924858454614878,0.006926439702510834,0.006561563815921545,1e-04,0.00738165806978941,0.006939523387700319,0.006635335274040699,0.0037246376741677523,0.006744860205799341,0.006008843891322613,0.007211902644485235,0.006616940721869469,0.005745881702750921
1,0.0032864860258996487,0.0062759206630289555,0.005657863803207874,1e-04,0.00685519352555275,0.006346406880766153,0.00552530400454998,0.0027604850474745035,0.005595002789050341,0.005261538550257683,0.006692012771964073,0.005811849143356085,0.005448342766612768
2,0.0026725968345999718,0.005659931339323521,0.0050013428553938866,1e-04,0.0063250260427594185,0.005689021199941635,0.0046601369976997375,0.0022081078495830297,0.004656591918319464,0.004338965751230717,0.00580216571688652,0.004805376287549734,0.00422258535400033
3,0.0019920801278203726,0.004701400641351938,0.004194528330117464,1e-04,0.005639311857521534,0.004807795397937298,0.003832052694633603,0.0017990176565945148,0.0035131233744323254,0.003516049589961767,0.005010278895497322,0.003842253005132079,0.0034155745524913073
4,0.0015114593552425504,0.004260014742612839,0.0037144392263144255,1e-04,0.005105832125991583,0.004204790573567152,0.003490088740363717,0.001489822519943118,0.003474342403933406,0.003257401054725051,0.004353419877588749,0.003883958561345935,0.0030854647047817707
5,0.0012575623113662004,0.0038674918469041586,0.003362479852512479,1e-04,0.004721113480627537,0.00393395870923996,0.003032269421964884,0.0013866230146959424,0.00312240794301033,0.0029066409915685654,0.004138241987675428,0.003277597716078162,0.0026083337143063545
6,0.0010090242139995098,0.0034387740306556225,0.002924959873780608,1e-04,0.004209261853247881,0.0034444830380380154,0.002523258561268449,0.0009269959409721196,0.003006742103025317,0.002663989784196019,0.003732487093657255,0.0032128652092069387,0.0024408577010035515
7,0.0008337644394487143,0.003219862701371312,0.0027216519229114056,1e-04,0.003945762757211924,0.003260742174461484,0.002348127542063594,0.0011336219031363726,0.0025898953899741173,0.002631836337968707,0.003966411575675011,0.0030449265614151955,0.0024243281222879887
8,0.0007306283223442733,0.002996527822688222,0.00255443062633276,1e-04,0.0037230465095490217,0.003092546947300434,0.0022294041700661182,0.0005367223639041185,0.0027002329006791115,0.00243796082213521,0.0038019816856831312,0.002827948424965143,0.002322918036952615
9,0.0005519814440049231,0.002940033096820116,0.002382173202931881,1e-04,0.0035508964210748672,0.002901674946770072,0.0019662773702293634,0.00045349090942181647,0.002763393335044384,0.0023341996129602194,0.0034606014378368855,0.002697237068787217,0.0022962752263993025
10,0.00048714212607592344,0.0027100187726318836,0.0022191244643181562,1e-04,0.003368592821061611,0.002800518414005637,0.0017293485580012202,0.00042489380575716496,0.0027951279189437628,0.002305303467437625,0.0035069959703832865,0.0028922143392264843,0.0019072848372161388
11,0.0004083240928594023,0.002518613822758198,0.0020384518429636955,1e-04,0.0031030550599098206,0.002529178047552705,0.0016330918297171593,0.0004207217716611922,0.002639798214659095,0.002211855724453926,0.0032463371753692627,0.002922226209193468,0.0018301933305338025
12,0.00038938087527640164,0.0025337557308375835,0.001989296404644847,1e-04,0.0030266321264207363,0.0024612031411379576,0.00153551553376019,0.000371681759133935,0.002439754316583276,0.0020168509799987078,0.0029737474396824837,0.0025512489955872297,0.0017478233203291893
13,0.00031893362756818533,0.002420266857370734,0.0019051565323024988,1e-04,0.0028487048111855984,0.002463073469698429,0.0014748030807822943,0.00036066057509742677,0.002258267253637314,0.001953230472281575,0.003097644541412592,0.0025302532594650984,0.0015193254221230745
