epoch,body,left_ear,loss,lr,neck,right_ear,snout,tail,val_body,val_left_ear,val_loss,val_neck,val_right_ear,val_snout,val_tail
0,0.01425095833837986,0.017919421195983887,0.017642833292484283,1e-04,0.016913119703531265,0.01802428998053074,0.018917415291070938,0.01983175240457058,0.01165300514549017,0.016001857817173004,0.015984883531928062,0.014030729420483112,0.016075920313596725,0.01866174302995205,0.019486062228679657
1,0.010105961002409458,0.016060177236795425,0.015504223294556141,1e-04,0.014038743451237679,0.015832768753170967,0.01798708550632,0.019000623375177383,0.009756390936672688,0.015253189951181412,0.014895366504788399,0.012782204896211624,0.01461296807974577,0.018483856692910194,0.018483592197299004
2,0.009310704655945301,0.015444879420101643,0.014596662484109402,1e-04,0.012715190649032593,0.014774158596992493,0.0175227839499712,0.01781228557229042,0.010620188899338245,0.015254196710884571,0.014671591110527515,0.012388831004500389,0.014589068479835987,0.01786719262599945,0.017310062423348427
3,0.008616277016699314,0.014629971235990524,0.01377189252525568,1e-04,0.011610056273639202,0.014167746528983116,0.017070656642317772,0.016536660492420197,0.0105949891731143,0.015102204866707325,0.014716747216880322,0.013273526914417744,0.015077145770192146,0.0173049233853817,0.01694769226014614
4,0.008065099827945232,0.01445244625210762,0.01338614709675312,1e-04,0.011302847415208817,0.014104235917329788,0.016614915803074837,0.015777328982949257,0.008542809635400772,0.013675309717655182,0.012736392207443714,0.010291854850947857,0.013456691987812519,0.01636037975549698,0.014091311022639275
5,0.007598712109029293,0.013727404177188873,0.012701712548732758,1e-04,0.010420112870633602,0.013683580793440342,0.016137488186359406,0.014642991125583649,0.008380461484193802,0.013168619014322758,0.012684333138167858,0.009727373719215393,0.013246522285044193,0.016275305300951004,0.0153077132999897
6,0.00720550399273634,0.013033605180680752,0.012006972916424274,1e-04,0.00938660092651844,0.013062077574431896,0.015524161048233509,0.013829918578267097,0.008208023384213448,0.01409904658794403,0.012971905991435051,0.010485520586371422,0.013245799578726292,0.017179468646645546,0.014613578096032143
7,0.006658940110355616,0.01241617277264595,0.011321373283863068,1e-04,0.008600588887929916,0.012160644866526127,0.014761780388653278,0.013330100104212761,0.008159887976944447,0.01162807084619999,0.011193836107850075,0.008095390163362026,0.011543050408363342,0.014982899650931358,0.01275372039526701
8,0.006706496234983206,0.011134965345263481,0.010596944019198418,1e-04,0.00792788341641426,0.011198950931429863,0.01447285432368517,0.012140517123043537,0.00763888331130147,0.011967398226261139,0.011934642679989338,0.010159330442547798,0.013262610882520676,0.016852883622050285,0.011726748198270798
9,0.006372699048370123,0.0100218141451478,0.009812813252210617,1e-04,0.007365288212895393,0.009854665026068687,0.013682319782674313,0.011580082587897778,0.0077153644524514675,0.009163232520222664,0.009900345467031002,0.007604299113154411,0.009821818210184574,0.01428715419024229,0.01081020012497902
10,0.005890955682843924,0.009315618313848972,0.009142259135842323,1e-04,0.0066726068034768105,0.00913596898317337,0.01301716361194849,0.010821254923939705,0.007334416266530752,0.010610150173306465,0.01024332270026207,0.008420905098319054,0.010093430057168007,0.014648444950580597,0.01035259198397398
11,0.005960963666439056,0.008714189752936363,0.008669380098581314,1e-04,0.006082012318074703,0.008416148833930492,0.012626568786799908,0.01021639909595251,0.007720136549323797,0.009542570449411869,0.009611962363123894,0.0076296073384583,0.009780650027096272,0.013453326188027859,0.009545490145683289
12,0.0055870055221021175,0.007836617529392242,0.007931633852422237,1e-04,0.005631878972053528,0.007644229102879763,0.011397157795727253,0.009492929093539715,0.007284644525498152,0.008039847947657108,0.008749304339289665,0.006877008825540543,0.00971633568406105,0.012487025000154972,0.008090968243777752
13,0.005445728078484535,0.007712716702371836,0.00773470988497138,1e-04,0.005446985363960266,0.007385126780718565,0.011093989945948124,0.00932371150702238,0.006821334827691317,0.009502521716058254,0.009169281460344791,0.007575667928904295,0.00885065272450447,0.012962414883077145,0.00930309109389782
14,0.005007821600884199,0.006944848690181971,0.007074832916259766,1e-04,0.004897906444966793,0.006744208745658398,0.010551624931395054,0.008302614092826843,0.0067603266797959805,0.007371822837740183,0.008097989484667778,0.00581860076636076,0.008008857257664204,0.012189106084406376,0.008439219556748867
15,0.005132138729095459,0.0064680688083171844,0.006689269095659256,1e-04,0.004555497318506241,0.0062461793422698975,0.009750439785420895,0.007983296178281307,0.0065529560670256615,0.007148867007344961,0.007916709408164024,0.006032006815075874,0.0077750240452587605,0.012277889996767044,0.007713510654866695
16,0.004858309868723154,0.00596939492970705,0.0062873028218746185,1e-04,0.004218835383653641,0.005894054658710957,0.00923361536115408,0.007549615111202002,0.006208463571965694,0.0070746177807450294,0.0075706555508077145,0.005860841367393732,0.007766649592667818,0.010598447173833847,0.007914911955595016
17,0.004733891226351261,0.005547334905713797,0.005960294511169195,1e-04,0.0040423450991511345,0.0057755568996071815,0.008559339679777622,0.007103294134140015,0.006781144067645073,0.007682936266064644,0.008447816595435143,0.006476452108472586,0.008852294646203518,0.012243335135281086,0.008650735020637512
18,0.004517559427767992,0.005281760822981596,0.005567236337810755,1e-04,0.0036623261403292418,0.005228457041084766,0.008270399644970894,0.006442922167479992,0.006611695978790522,0.006797343958169222,0.007029643747955561,0.00485652033239603,0.006825818680226803,0.010212174616754055,0.0068743182346224785
19,0.004348323214799166,0.004912711214274168,0.005242868792265654,1e-04,0.003500338178128004,0.004921807441860437,0.007642037700861692,0.006131991744041443,0.006477695889770985,0.006164154037833214,0.006558304186910391,0.004364251159131527,0.00591443432494998,0.0094091035425663,0.007020186632871628
20,0.0042039877735078335,0.004754740744829178,0.004995560739189386,1e-04,0.0034442972391843796,0.004758380353450775,0.006933894474059343,0.00587806710973382,0.00674504553899169,0.007043678779155016,0.007011715322732925,0.004986108280718327,0.0068543716333806515,0.00953307468444109,0.006908012088388205
21,0.00402029138058424,0.004411790054291487,0.0047217849642038345,1e-04,0.0032609328627586365,0.0044628591276705265,0.006584021262824535,0.005590822082012892,0.006061387713998556,0.006864388007670641,0.007341450545936823,0.005431822966784239,0.007017354480922222,0.010516278445720673,0.008157473988831043
22,0.0038599383551627398,0.00416968110948801,0.004487653262913227,1e-04,0.0030148690566420555,0.00416203960776329,0.006397695280611515,0.005321696400642395,0.006182970013469458,0.0061805592849850655,0.007394053041934967,0.005524847190827131,0.007619669660925865,0.010518936440348625,0.008337332867085934
23,0.003817743854597211,0.004119544290006161,0.004330542869865894,1e-04,0.0030468518380075693,0.0038778947200626135,0.005912527907639742,0.005208693444728851,0.006087951362133026,0.006870822515338659,0.007504118140786886,0.005265836138278246,0.007224591448903084,0.010876723565161228,0.008698785677552223
24,0.003737698309123516,0.003818265860900283,0.004223575349897146,1e-04,0.0029245817568153143,0.004000076558440924,0.005923824850469828,0.004937022924423218,0.005933423060923815,0.0067091346718370914,0.006659065838903189,0.004967004060745239,0.006449696607887745,0.009259723126888275,0.006635414902120829
25,0.0032561966218054295,0.0032245598267763853,0.003459005616605282,5e-05,0.002478864276781678,0.003159712301567197,0.004613369237631559,0.0040213274769485,0.005884161684662104,0.006146726664155722,0.006392470560967922,0.004651117138564587,0.006172620691359043,0.008557830937206745,0.00694236857816577
26,0.0032401513308286667,0.0031088467221707106,0.0033232280984520912,5e-05,0.0024569593369960785,0.002950500464066863,0.004418256692588329,0.0037646577693521976,0.005632382817566395,0.006747318431735039,0.006935469806194305,0.005761428270488977,0.007438453380018473,0.01001246739178896,0.006020772736519575
27,0.003053860506042838,0.0029300819151103497,0.0030845736619085073,5e-05,0.002297748578712344,0.0028116684406995773,0.004054132383316755,0.003359949216246605,0.005853574723005295,0.005893684457987547,0.006371503230184317,0.004830013960599899,0.006594432983547449,0.008774821646511555,0.006282493472099304
28,0.0029072521720081568,0.0028225649148225784,0.003003648016601801,5e-05,0.0022189465817064047,0.0027576570864766836,0.0038719349540770054,0.0034435326233506203,0.005739984102547169,0.005791781470179558,0.006485924124717712,0.004762756638228893,0.006864855997264385,0.009247778914868832,0.006508387625217438
29,0.002876180224120617,0.002627959940582514,0.0028649980667978525,5e-05,0.0021679438650608063,0.0026103672571480274,0.003624409670010209,0.003283121855929494,0.005830162670463324,0.005832870490849018,0.006433701608330011,0.005059153772890568,0.006432155147194862,0.009252172894775867,0.006195696536451578
30,0.002777544781565666,0.002512638922780752,0.0027226207312196493,5e-05,0.0020034415647387505,0.0024175827857106924,0.0034154332242906094,0.003209085203707218,0.0055950721725821495,0.005203314125537872,0.006250449456274509,0.004504522308707237,0.006440598517656326,0.00917632132768631,0.006582867819815874
31,0.00261114863678813,0.0025073622819036245,0.002621278865262866,5e-05,0.002013227203860879,0.00244243536144495,0.003183532739058137,0.0029699665028601885,0.0058738673105835915,0.0055956547148525715,0.006351529620587826,0.004593010060489178,0.006236295215785503,0.00904067512601614,0.006769678555428982
32,0.002646825974807143,0.0023344941437244415,0.0025181472301483154,5e-05,0.0018964492483064532,0.0023578847758471966,0.003103888127952814,0.00276934658177197,0.005904745776206255,0.006505828816443682,0.006886153481900692,0.0055357892997562885,0.007425679825246334,0.00941870640963316,0.0065261684358119965
33,0.0025770950596779585,0.0023374499287456274,0.002458930015563965,5e-05,0.001883888035081327,0.0022297610994428396,0.0029422601219266653,0.0027831231709569693,0.006051881238818169,0.006532869301736355,0.00673347944393754,0.005234650336205959,0.0071091195568442345,0.008943471126258373,0.006528880912810564
34,0.0024421752896159887,0.0021366216242313385,0.0023259224835783243,5e-05,0.0018476280383765697,0.0021986719220876694,0.0028679072856903076,0.0024625281803309917,0.005845252424478531,0.006984482519328594,0.007073505781590939,0.005367225036025047,0.0073653473518788815,0.009896337054669857,0.006982393097132444
35,0.0024355188943445683,0.002147210296243429,0.0022881843615323305,5e-05,0.0017906646244227886,0.002125471830368042,0.0027895697858184576,0.0024406700395047665,0.006085386499762535,0.006528114899992943,0.006718783639371395,0.004973324481397867,0.0067812008783221245,0.009309979155659676,0.006634700112044811
36,0.0022221810650080442,0.0019643562845885754,0.0020254061091691256,2.5e-05,0.0016629872843623161,0.001902736141346395,0.0023100776597857475,0.002090098802000284,0.005710572469979525,0.005649559665471315,0.00649629021063447,0.004609784111380577,0.006584837567061186,0.009039146825671196,0.007383835967630148
37,0.002146385610103607,0.0019492532592266798,0.002007372910156846,2.5e-05,0.0017047374276444316,0.001887798891402781,0.002286416944116354,0.002069647889584303,0.006040233187377453,0.0066610658541321754,0.006961352191865444,0.004943754989653826,0.006720979232341051,0.00992589071393013,0.0074761915020644665
38,0.0020593926310539246,0.00186565809417516,0.0018982789479196072,2.5e-05,0.0015959294978529215,0.001782296458259225,0.0020883267279714346,0.0019980710931122303,0.005657038185745478,0.005291749723255634,0.005988623481243849,0.004619902931153774,0.005632359068840742,0.008472309447824955,0.0062583801336586475
39,0.0020806791726499796,0.0018352249171584845,0.0019033333519473672,2.5e-05,0.0015913168899714947,0.0018054884858429432,0.0021016502287238836,0.002005635993555188,0.005888569168746471,0.005926134996116161,0.006409015506505966,0.0049628084525465965,0.00663501862436533,0.008922114036977291,0.006119448691606522
40,0.0020581630524247885,0.0017541295383125544,0.0018309332663193345,2.5e-05,0.0015772769693285227,0.0017647040076553822,0.0019488439429551363,0.0018824812723323703,0.005949512589722872,0.0056249951012432575,0.0063427509739995,0.004722409415990114,0.0061932834796607494,0.009237180463969707,0.006329124327749014
41,0.0019707828760147095,0.001767427078448236,0.0017718046437948942,2.5e-05,0.0014478849479928613,0.001670929486863315,0.0019438418094068766,0.0018299625953659415,0.005928695667535067,0.005970921367406845,0.0062590306624770164,0.0043883235193789005,0.006295226514339447,0.009028549306094646,0.00594246806576848
42,0.001951658516190946,0.001726246322505176,0.0017453266773372889,2.5e-05,0.00143659848254174,0.001676915562711656,0.0018720733933150768,0.0018084697658196092,0.006132523063570261,0.006583688780665398,0.006960292346775532,0.005529329180717468,0.007092648185789585,0.00968988984823227,0.006733675487339497
