epoch,body,left_ear,loss,lr,neck,right_ear,snout,tail,val_body,val_left_ear,val_loss,val_neck,val_right_ear,val_snout,val_tail
0,0.0017673653783276677,0.002102369675412774,0.0020397512707859278,1e-04,0.0020270035602152348,0.002096274634823203,0.002134331502020359,0.0021111576352268457,0.0012270505540072918,0.001952948747202754,0.0018307219725102186,0.0018015374662354589,0.001954379491508007,0.0020309179089963436,0.0020175003446638584
1,0.0011636130511760712,0.0018968508811667562,0.001757319550961256,1e-04,0.0016545781400054693,0.0018661697395145893,0.0020096399821341038,0.0019530700519680977,0.00098627049010247,0.0017560587730258703,0.0016005606157705188,0.0014415321638807654,0.0017166215693578124,0.0018801054684445262,0.0018227765103802085
2,0.0009443920571357012,0.0016909906407818198,0.0015095180133357644,1e-04,0.0013280223356559873,0.001669352874159813,0.0018026010366156697,0.0016217534430325031,0.0008491536136716604,0.001547318184748292,0.0013328512432053685,0.0011335015296936035,0.0015069025103002787,0.0015360766556113958,0.0014241539174690843
3,0.0008772818837314844,0.001477674930356443,0.0013253041543066502,1e-04,0.001168715418316424,0.0014979251427575946,0.001602426404133439,0.0013278004480525851,0.0008072247728705406,0.0014137380057945848,0.0012164913350716233,0.0010530689032748342,0.001236737472936511,0.0015333767514675856,0.0012548024533316493
4,0.0008173272362910211,0.0012112316908314824,0.0011496912920847535,1e-04,0.0010215456131845713,0.0012300248490646482,0.001441155094653368,0.0011768619297072291,0.0007361381431110203,0.0009795312071219087,0.0009676984627731144,0.000841104076243937,0.0009776884689927101,0.001218747696839273,0.0010529803112149239
5,0.0007707109907642007,0.0010269202757626772,0.0010140594094991684,1e-04,0.0008837803034111857,0.0010541785741224885,0.0012971765827387571,0.001051590428687632,0.0007831305265426636,0.0009719461668282747,0.0010106138652190566,0.0008196047856472433,0.0009973805863410234,0.0013210381148383021,0.001170583302155137
6,0.0007365319179370999,0.0009047989151440561,0.0009158323518931866,1e-04,0.0007768993964418769,0.0009280633530579507,0.0011927364394068718,0.0009559643222019076,0.0006786106387153268,0.000775517662987113,0.0008256834698840976,0.0007392585976049304,0.0007978901267051697,0.0010778742143884301,0.0008849495789036155
7,0.000706517428625375,0.0008253287523984909,0.0008451296016573906,1e-04,0.0007109924918040633,0.000848484574817121,0.001102786511182785,0.0008766686078161001,0.000690124521497637,0.0007417536689899862,0.0007678273832425475,0.0006403846782632172,0.0007453238940797746,0.0009634422021917999,0.0008259356254711747
8,0.0006894938996993005,0.0007639885297976434,0.0007913841400295496,1e-04,0.0006472936947830021,0.0007872405694797635,0.00103557831607759,0.0008247118094004691,0.0006505533237941563,0.0006351280026137829,0.0006936482968740165,0.0005721271154470742,0.0006339868996292353,0.000905387569218874,0.000764707860071212
9,0.0006794614600948989,0.0007295028190128505,0.0007537048659287393,1e-04,0.0006117462180554867,0.0007443048525601625,0.0009792572818696499,0.0007779558654874563,0.0006973876734264195,0.0006214022869244218,0.0006867973133921623,0.0005573469679802656,0.0006207445985637605,0.0008802731754258275,0.0007436294108629227
10,0.0006653718883171678,0.0006806862074881792,0.0007149095763452351,1e-04,0.0005693372804671526,0.0006921385647729039,0.000937713251914829,0.0007442094502039254,0.0006508509395644069,0.0006090743117965758,0.0006749697495251894,0.0005160677246749401,0.0006376589881256223,0.0008721724734641612,0.0007639939431101084
11,0.0006463432218879461,0.0006510664825327694,0.0006860930589027703,1e-04,0.0005367371486499906,0.000659584067761898,0.0009083199547603726,0.0007145038689486682,0.000628568755928427,0.0005832794704474509,0.000634254771284759,0.00048463940038345754,0.0005863461410626769,0.0008185728802345693,0.000704122066963464
12,0.0006390901398845017,0.0006210482097230852,0.0006564133218489587,1e-04,0.0005083933938294649,0.0006320078391581774,0.0008630483062006533,0.0006748909363523126,0.0006209186394698918,0.0005517122917808592,0.0006177235627546906,0.0004905204987153411,0.0005770561401732266,0.0008201099117286503,0.0006460240110754967
13,0.0006324952701106668,0.0006018465501256287,0.0006370689370669425,1e-04,0.000489540514536202,0.0006079238373786211,0.0008297694148495793,0.0006608388503082097,0.0006516686407849193,0.0005460886168293655,0.000631045491900295,0.000489658850710839,0.0005445154965855181,0.0007966161938384175,0.0007577258511446416
14,0.0006268841680139303,0.0005772783188149333,0.0006192245637066662,1e-04,0.0004727254272438586,0.0005881152465008199,0.0008079773397184908,0.0006423662998713553,0.0005959091940894723,0.0005136804538778961,0.0005671276012435555,0.0004295465478207916,0.0005039769457653165,0.0007640424882993102,0.0005956102395430207
15,0.0006196959875524044,0.0005498609971255064,0.0005945459706708789,1e-04,0.0004450225969776511,0.0005571256042458117,0.0007798539008945227,0.0006157143507152796,0.0006283132242970169,0.0004906312678940594,0.000565206166356802,0.00043344564619474113,0.0005115453386679292,0.0007301485165953636,0.0005971528589725494
16,0.0006017129053361714,0.0005300089833326638,0.0005734155420213938,1e-04,0.00042635301360860467,0.0005360133945941925,0.0007581138052046299,0.0005882945260964334,0.0006108685047365725,0.0005511403433047235,0.0006241102237254381,0.0004904581583105028,0.000556115759536624,0.0008160375873558223,0.000720042095053941
17,0.0006049106596037745,0.0005249388050287962,0.0005677223671227694,1e-04,0.0004268072952982038,0.0005291056586429477,0.0007340809097513556,0.000586489331908524,0.0005902129923924804,0.0004646244924515486,0.0005452200421132147,0.00041097120265476406,0.0005193399847485125,0.0007039939519017935,0.0005821778904646635
18,0.0006042777094990015,0.0005063814460299909,0.0005505455774255097,1e-04,0.0004094663308933377,0.000515139487106353,0.0007172683835960925,0.0005507385940290987,0.000615473953075707,0.0004526338598225266,0.0005338044138625264,0.000390558474464342,0.000465127028292045,0.0006438533891923726,0.0006351795746013522
19,0.0005926443845964968,0.000490125035867095,0.0005371623556129634,1e-04,0.0003949879319407046,0.0004956808988936245,0.0007027862011454999,0.0005467520095407963,0.0005781096988357604,0.0005400207592174411,0.0005451074684970081,0.00044250686187297106,0.0004995720810256898,0.0006735606584697962,0.0005368751590140164
20,0.0005817139754071832,0.0004796534194611013,0.0005233569536358118,1e-04,0.0003836587711703032,0.0004872845602221787,0.0006742998375557363,0.0005335294408723712,0.0005802504601888359,0.0004591128381434828,0.0005138421547599137,0.00039524200838059187,0.00048722964129410684,0.000676355033647269,0.00048486312152817845
21,0.0005752212018705904,0.00046828712220303714,0.0005112967919558287,1e-04,0.00037362854345701635,0.00046591804130002856,0.0006603889050893486,0.0005243360064923763,0.0005723190261051059,0.00046373106306418777,0.0005028204759582877,0.0003724372072611004,0.0004616363439708948,0.0006617889157496393,0.0004850107943639159
