epoch,loss,lr,val_loss
0,0.0019831163808703423,1e-04,0.0016625982243567705
1,0.0016197441145777702,1e-04,0.001503173727542162
2,0.0014169916976243258,1e-04,0.001326792174950242
3,0.0011975480010733008,1e-04,0.0010793395340442657
4,0.0010619532549753785,1e-04,0.0008810871513560414
5,0.000989682856015861,1e-04,0.0009204597445204854
6,0.0008649174706079066,1e-04,0.0008752454305067658
7,0.0008092024363577366,1e-04,0.0005873086047358811
8,0.0007533587631769478,1e-04,0.0005745203816331923
9,0.0006971298134885728,1e-04,0.0006687419954687357
10,0.0006562686176039279,1e-04,0.0005918225506320596
11,0.0006567144300788641,1e-04,0.0006151959532871842
12,0.000647112145088613,1e-04,0.0005343120428733528
13,0.0005895372596569359,1e-04,0.000625345972366631
14,0.000585321569815278,1e-04,0.0005486374138854444
15,0.0005671372055076063,1e-04,0.000561460037715733
16,0.0005392009625211358,1e-04,0.0005470282630994916
17,0.0005267133237794042,1e-04,0.0005315917078405619
18,0.0005181594751775265,1e-04,0.0004995622439309955
19,0.0004934219759888947,1e-04,0.0005539144622161984
20,0.0004701642319560051,1e-04,0.00047659577103331685
21,0.0004747193306684494,1e-04,0.0006512575200758874
22,0.00046287119039334357,1e-04,0.000460352428490296
23,0.00045540055725723505,1e-04,0.000515890249516815
24,0.0004226829041726887,1e-04,0.00048364634858444333
25,0.00040590029675513506,1e-04,0.0005387208657339215
26,0.0003931217361241579,1e-04,0.0006347772432491183
27,0.0003997966996394098,1e-04,0.0004910879069939256
28,0.0003474365221336484,5e-05,0.0004679500707425177
29,0.00030530206277035177,5e-05,0.0005716941086575389
30,0.00031670823227614164,5e-05,0.00043727984302677214
31,0.00029232967062853277,5e-05,0.0005010447348468006
32,0.000285729649476707,5e-05,0.0004918428021483123
33,0.0002665665524546057,5e-05,0.0003739128587767482
34,0.00027523067547008395,5e-05,0.0004301206208765507
35,0.0002575255057308823,5e-05,0.0005794113385491073
36,0.0002482534328009933,5e-05,0.00044392707059159875
37,0.00024194583238568157,5e-05,0.0004160580283496529
38,0.0002192205865867436,5e-05,0.0004906193353235722
39,0.0002137452975148335,2.5e-05,0.0005111710052005947
40,0.00020658950961660594,2.5e-05,0.0005150834913365543
41,0.0001983572874451056,2.5e-05,0.0006159499171189964
42,0.00020134168153163046,2.5e-05,0.0004163029952906072
43,0.00019217004592064768,2.5e-05,0.00044099785736761987
