epoch,body,left_ear,loss,lr,nose,right_ear,tail_base,val_body,val_left_ear,val_loss,val_nose,val_right_ear,val_tail_base
0,0.0025955329183489084,0.0026561750564724207,0.0026978664100170135,1e-04,0.0027900608256459236,0.002659913618117571,0.002787645673379302,0.002307882532477379,0.0024732837919145823,0.0025134964380413294,0.0026663970202207565,0.002448552753776312,0.0026713679544627666
1,0.002224790398031473,0.0026051944587379694,0.002586263231933117,1e-04,0.0027780074160546064,0.002611851552501321,0.0027114704716950655,0.0022685511503368616,0.0024743073154240847,0.002496946370229125,0.0026364498771727085,0.0024598343297839165,0.0026455873157829046
2,0.0020763499196618795,0.002552662743255496,0.0025095134042203426,1e-04,0.0027407945599406958,0.0025606921408325434,0.0026170690543949604,0.0021997380536049604,0.002394002629444003,0.0024147569201886654,0.0026380394119769335,0.002365061081945896,0.0024769422598183155
3,0.0018534226110205054,0.0024976786226034164,0.0023968792520463467,1e-04,0.0027242181822657585,0.0024573926348239183,0.0024516780395060778,0.0018042927840724587,0.0022742857690900564,0.002225303091108799,0.002503979252651334,0.002249246696010232,0.0022947099059820175
4,0.0016758161364123225,0.0024320962838828564,0.0022861326579004526,1e-04,0.0026802520733326674,0.0023315122816711664,0.0023109898902475834,0.001431866199709475,0.0022429705131798983,0.0021375510841608047,0.002483309479430318,0.0021739022340625525,0.002355708507820964
5,0.0011291763512417674,0.0023859005887061357,0.0021145325154066086,1e-04,0.0026552609633654356,0.002262130845338106,0.00214019394479692,0.0011190208606421947,0.0021933310199528933,0.0019919718615710735,0.002558268839493394,0.0021387310698628426,0.0019505082163959742
6,0.00047835317673161626,0.0022707819007337093,0.001898326096124947,1e-04,0.0026035066694021225,0.0021573978010565042,0.0019815843552351,0.00026635307585820556,0.0019968985579907894,0.0016505550593137741,0.002396439202129841,0.0018810075707733631,0.0017120768316090107
7,0.00021767368889413774,0.002123703248798847,0.0017480110982432961,1e-04,0.0025562059599906206,0.002021634252741933,0.0018208366818726063,0.0001368842931697145,0.0018430709606036544,0.0015952592948451638,0.0023658289574086666,0.0018048352794721723,0.0018256772309541702
8,0.0001880019553937018,0.0019477803725749254,0.0016145473346114159,1e-04,0.0024373382329940796,0.001827375264838338,0.0016722400905564427,0.00015476516273338348,0.0017001634696498513,0.0015401685377582908,0.0022933315485715866,0.001704760710708797,0.0018478218698874116
9,0.00013625020801555365,0.0018707910785451531,0.001545050647109747,1e-04,0.0023989782202988863,0.0018039837013930082,0.001515248673968017,0.00015632720896974206,0.0016007503727450967,0.0013912385329604149,0.002264732960611582,0.0016033129068091512,0.0013310688082128763
10,0.00012052681267959997,0.0017532852943986654,0.0014639743603765965,1e-04,0.002334767719730735,0.0016786879859864712,0.0014326033415272832,8.880862878868356e-05,0.0015528567600995302,0.001328019774518907,0.002101844409480691,0.0015642764046788216,0.0013323132880032063
11,0.00010048738477053121,0.0016932961298152804,0.0013950068969279528,1e-04,0.0022272691130638123,0.00160494027659297,0.0013490428682416677,7.799304148647934e-05,0.0016323237214237452,0.0013386333594098687,0.0021660421043634415,0.0015214360319077969,0.0012953727273270488
12,9.925902122631669e-05,0.0016449966933578253,0.0013618161901831627,1e-04,0.0021997932344675064,0.0015788509044796228,0.0012861823197454214,8.495731890434399e-05,0.001537076779641211,0.0012697214260697365,0.0020679952576756477,0.0014630489749833941,0.0011955292429775
13,8.329364936798811e-05,0.0016098826890811324,0.0013211071491241455,1e-04,0.002144559985026717,0.0015167809324339032,0.001251018256880343,6.864958413643762e-05,0.0013821828179061413,0.0012041089357808232,0.0020460232626646757,0.0014822127996012568,0.001041476265527308
14,7.689445919822901e-05,0.0015380633994936943,0.0012854457600042224,1e-04,0.0021155006252229214,0.0014914224157109857,0.0012053502723574638,6.270810263231397e-05,0.0014228804502636194,0.0012066364288330078,0.002000585664063692,0.0014494534116238356,0.0010975549230352044
15,8.765414531808347e-05,0.0015189179684966803,0.0012533104745671153,1e-04,0.002081245416775346,0.001427776413038373,0.0011509595206007361,5.817770215799101e-05,0.0013582640094682574,0.001149478368461132,0.0019066688837483525,0.0014237685827538371,0.001000513439066708
16,6.257316999835894e-05,0.0014983413275331259,0.0012289209989830852,1e-04,0.0020293407142162323,0.0014416895573958755,0.0011126581812277436,5.609541040030308e-05,0.0013781333109363914,0.001175658660940826,0.001920411828905344,0.0014861109666526318,0.001037540496326983
17,6.249484431464225e-05,0.0014064358547329903,0.0011803428642451763,1e-04,0.001996624981984496,0.0013767499476671219,0.0010594086488708854,8.528929902240634e-05,0.0014138524420559406,0.0012176425661891699,0.001935908105224371,0.0015351572073996067,0.0011180064175277948
18,6.553954881383106e-05,0.0014361857902258635,0.0011889745946973562,1e-04,0.0019924736116081476,0.001386089832521975,0.0010645826114341617,5.6738266721367836e-05,0.0014105099253356457,0.0011572629446163774,0.0018874972593039274,0.0014660893939435482,0.0009654801688157022
