epoch,loss,lr,val_loss
0,0.00014812996960245073,1e-04,0.00015232634905260056
1,0.0001441782951587811,1e-04,0.00014799639757256955
2,0.0001409159740433097,1e-04,0.00014564988669008017
3,0.0001381996989948675,1e-04,0.00014175416436046362
4,0.0001356641878373921,1e-04,0.00013815787679050118
5,0.0001334434055024758,1e-04,0.00013610278256237507
6,0.00013018526078667492,1e-04,0.00013351166853681207
7,0.00012782566773239523,1e-04,0.0001306286867475137
8,0.0001240549754584208,1e-04,0.00013253978977445513
9,0.00012127663649152964,1e-04,0.0001247286854777485
10,0.00011637050920398906,1e-04,0.0001224908046424389
11,0.0001131307435571216,1e-04,0.0001144809793913737
12,0.00010745920008048415,1e-04,0.00011096900561824441
13,0.00010318182467017323,1e-04,0.00011156323307659477
14,9.886974294204265e-05,1e-04,9.907558705890551e-05
15,9.441432484891266e-05,1e-04,0.00010035118611995131
16,8.965376036940143e-05,1e-04,9.038693679030985e-05
17,8.637402788735926e-05,1e-04,9.764658170752227e-05
18,8.400001388508826e-05,1e-04,8.974533557193354e-05
19,7.88268880569376e-05,1e-04,8.910163887776434e-05
20,7.62661438784562e-05,1e-04,8.808873826637864e-05
21,7.381838804576546e-05,1e-04,8.119226549752057e-05
22,7.054617162793875e-05,1e-04,8.09189077699557e-05
23,6.851836224086583e-05,1e-04,8.45377508085221e-05
24,6.529479287564754e-05,1e-04,8.38398264022544e-05
25,6.3422201492358e-05,1e-04,8.134168456308544e-05
26,6.114361167419702e-05,1e-04,8.049561438383535e-05
27,5.410468656918965e-05,5e-05,8.210445230361074e-05
28,5.200366649660282e-05,5e-05,8.187254570657387e-05
29,5.010109089198522e-05,5e-05,8.056723891058937e-05
30,4.908350820187479e-05,5e-05,8.180121949408203e-05
31,4.776629066327587e-05,5e-05,8.232042455347255e-05
32,4.6298649976961315e-05,5e-05,8.135262032737955e-05
33,4.489054117584601e-05,5e-05,8.672339026816189e-05
34,4.103488754481077e-05,2.5e-05,8.736359450267628e-05
35,3.975368235842325e-05,2.5e-05,7.955626642797142e-05
36,3.875617403537035e-05,2.5e-05,8.25391398393549e-05
37,3.809890040429309e-05,2.5e-05,8.416087075602263e-05
38,3.732511686393991e-05,2.5e-05,8.414682815782726e-05
39,3.653178282547742e-05,2.5e-05,9.147431410383433e-05
40,3.6676294257631525e-05,2.5e-05,8.635576523374766e-05
41,3.384158117114566e-05,1.25e-05,8.121266728267074e-05
42,3.340988769195974e-05,1.25e-05,8.799320494290441e-05
43,3.262055906816386e-05,1.25e-05,8.35064347484149e-05
44,3.306594226160087e-05,1.25e-05,8.678124140715227e-05
45,3.2063831895357e-05,1.25e-05,8.380971848964691e-05
