epoch,loss,lr,val_loss
0,0.00013383739860728383,1e-04,0.00012977929145563394
1,0.00013078005576971918,1e-04,0.00012707897985819727
2,0.00012828141916543245,1e-04,0.00012631676509045064
3,0.00012455775868147612,1e-04,0.0001253375958185643
4,0.00012289236474316567,1e-04,0.0001249374181497842
5,0.00011988682672381401,1e-04,0.00011841706145787612
6,0.00011863639520015568,1e-04,0.00011688494123518467
7,0.0001155491845565848,1e-04,0.00011377353075658903
8,0.00011298858589725569,1e-04,0.0001157696679001674
9,0.00011026698484783992,1e-04,0.00010988194117089733
10,0.00010633324563968927,1e-04,0.00010381735773989931
11,0.00010139924415852875,1e-04,0.00010271622886648402
12,9.797047096071765e-05,1e-04,9.524500637780875e-05
13,9.337111259810627e-05,1e-04,9.387189493281767e-05
14,8.969172631623223e-05,1e-04,9.116338333114982e-05
15,8.541581337340176e-05,1e-04,8.743342914385721e-05
16,8.132160292007029e-05,1e-04,8.886054274626076e-05
17,7.899096817709506e-05,1e-04,8.579219138482586e-05
18,7.554351032013074e-05,1e-04,8.15923631307669e-05
19,7.359942537732422e-05,1e-04,8.513955253874883e-05
20,7.065152021823451e-05,1e-04,8.145609172061086e-05
21,6.89858861733228e-05,1e-04,8.64273970364593e-05
22,6.562234193552285e-05,1e-04,8.134222298394889e-05
23,6.307542935246602e-05,1e-04,7.947998528834432e-05
24,6.1022514273645356e-05,1e-04,7.998615183169022e-05
25,5.985067400615662e-05,1e-04,8.100789273157716e-05
26,5.725284063373692e-05,1e-04,8.11855134088546e-05
27,5.4148989875102416e-05,1e-04,8.163503662217408e-05
28,5.3953775932313874e-05,1e-04,8.156955300364643e-05
29,4.65096345578786e-05,5e-05,7.541792001575232e-05
30,4.420583718456328e-05,5e-05,8.268893725471571e-05
31,4.326904672780074e-05,5e-05,7.644784636795521e-05
32,4.1473613237030804e-05,5e-05,7.973796891747043e-05
33,4.077893390785903e-05,5e-05,8.342244836967438e-05
34,3.938776353606954e-05,5e-05,8.053584315348417e-05
35,3.78953518520575e-05,5e-05,8.140499994624406e-05
36,3.4067241358570755e-05,2.5e-05,8.228112710639834e-05
37,3.276310962974094e-05,2.5e-05,8.019669621717185e-05
38,3.128992466372438e-05,2.5e-05,8.089399489108473e-05
39,3.0639708711532876e-05,2.5e-05,8.373708988074213e-05
