epoch,loss,lr,val_loss
0,0.0001314483815804124,1e-04,0.00013216535444371402
1,0.00012913491809740663,1e-04,0.00013600449892692268
2,0.00012752968177665025,1e-04,0.00012949200754519552
3,0.00012413710646796972,1e-04,0.000125731632579118
4,0.0001225901214638725,1e-04,0.00012386837624944746
5,0.00011927857849514112,1e-04,0.00011678051669150591
6,0.00011785089736804366,1e-04,0.00012175543088233098
7,0.00011574151722015813,1e-04,0.00012066663475707173
8,0.00011170127254445106,1e-04,0.00011712135892594233
9,0.00010755498078651726,1e-04,0.00011162295413669199
10,0.00010417062730994076,1e-04,0.0001063095623976551
11,9.96767557808198e-05,1e-04,0.00010801073221955448
12,9.473074896959588e-05,1e-04,9.621629578759894e-05
13,8.90207666088827e-05,1e-04,9.593312279321253e-05
14,8.46220864332281e-05,1e-04,9.89594409475103e-05
15,8.015241473913193e-05,1e-04,8.994987729238346e-05
16,7.650860788999125e-05,1e-04,8.917186642065644e-05
17,7.455379090970382e-05,1e-04,8.980006532510743e-05
18,7.000302139203995e-05,1e-04,8.49325442686677e-05
19,6.805847078794613e-05,1e-04,8.225007331930101e-05
20,6.510985258501023e-05,1e-04,9.021630103234202e-05
21,6.233010208234191e-05,1e-04,7.573106995550916e-05
22,6.0320897318888456e-05,1e-04,8.712680573808029e-05
23,5.7957535318564624e-05,1e-04,9.128445526584983e-05
24,5.5502929171780124e-05,1e-04,8.145003812387586e-05
25,5.229524686001241e-05,1e-04,8.465121209155768e-05
26,5.092121136840433e-05,1e-04,7.931919390102848e-05
27,4.314689431339502e-05,5e-05,7.999598165042698e-05
28,4.111922680749558e-05,5e-05,8.005039853742346e-05
29,3.9813065086491406e-05,5e-05,8.340473868884146e-05
30,3.886570630129427e-05,5e-05,8.205824997276068e-05
31,3.772916170419194e-05,5e-05,8.067106682574376e-05
